word,transcription,definition
𐀀𐀩𐀒𐀵𐀩,a-re-ko-to-re,anthroponym dative cf. ἀλέκτωρ Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀓𐀶𐀬𐀺,a-re-ku-tu-ru-wo,"anthroponym cf. Ἀλεκτρύων  spelling error dative of a-re-ku-tu-ru-wo  genitive of a-re-ku-tu-ru-wo Appears as """"me-ta-qe  pe-i  e-qe-ta  a-re-ku-tu-ru-wo  e-te-wo-ke-re-we-i-jo """" on PY An 654. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀓𐀶𐀬𐀺,a-re-ku-tu-ru-wo,cock
𐀀𐀩𐀞,a-re-pa,'ointment unguent' cf. ἄλειφαρ  dative of a-re-pa Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀞,a-re-pa,ointment
𐀀𐀩𐀞𐀿𐀃,a-re-pa-zo-o,'unguent-boiler perfume-maker'  alternative spelling of a-re-pa-zo-o Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀞𐀿𐀃,a-re-pa-zo-o,'unguent-boiler perfume-maker' dative (and nominative?) singular Shelmerdine 2008: 'perfumer'  nominative alternative spelling of a-re-pa-zo-o Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”
𐀀𐀩𐀞𐀿𐀃,a-re-pa-zo-o,unguent boiler perfume maker
𐀀𐀩𐀟𐀮𐀄,a-re-pe-se-u,
𐀀𐀩𐀭𐀛𐀁,a-re-sa-ni-e,meaning obscure Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀮𐀯,a-re-se-si,"""""object made of red leather"""" dative plural Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀱𐀴𐀍,a-re-su-ti-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀲𐀵,a-re-ta-to,"""""part of a chariot"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀲𐀵,a-re-ta-to,"""""part of a chariot"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀲𐀵,a-re-ta-to,"""""part of a chariot"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀲𐀵,a-re-ta-to,"""""part of a chariot"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀩𐀲𐀺,a-re-ta-wo,anthroponym cf. Ἀρετάων Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀳𐀩𐀄,a-re-te-re-u,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀵𐀵,a-re-to-to,anthroponym genitive cf. Ἀρέθων Ἀρέτων Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐀺,a-re-wo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀩𐁋,a-re-ta2,anthroponym cf. Ἀρητίας OVIS: KN Df (pu)-(na)-(so): KN X su-ki-ri-ta: KN Df Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀊𐀵,a-ri-ja-to,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀊𐀺,a-ri-ja-wo,
𐀀𐀪𐀐𐀄,a-ri-ke-u,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀒,a-ri-ko,anthroponym KN Da: da-*22-to KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀣,a-ri-qa,anthroponym cf. Ἀρίσβας Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀦,a-ri-qo,toponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀸𐀸,a-ri-we-we,anthroponym? KN F: a-ka-i-jo?ethnic Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀪𐀺,a-ri-wo,anthroponym cf. Ἀρίων as the name of a horse in the Iliad cf. (-ne) a-ri-ja-wo-ne e-ke-ra2-wo-ne po-me-ne  dative of a-ri-wo PY Cn 131 (context: pa-ro & OVIS): a-ka-ma-woPY Jn a-no-poPY Va a-ta-ma-ne-we a-we-ke-se-we do-qo-nohapax [[e-ti-ra-wo]]PY Sa gen. [[ke-ro-wo]]PY Ae ke-sa-me-noPY Fn ko-roKN De ko-ru-no ku-pi-ri-joKN Fh KN Ga PY Jn PY Un me-te-wehapax ne-ri-tohapax [[o-ku-ka]] [[pi-me-ta]]hapax po-ke-wehapax po-ko-ro po-ro-u-te-wePY Jn gen.; KN Dc PY Jn nom. ra-pa-sa-ko se-noPY Es [[wo-ki-to]]hapax Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀀,a-ro-a,better perfect
𐀀𐀫𐀄𐀨,a-ro-u-ra,'corn-lands' cf. ἄρουραι πυρόφοροι Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀄𐀨,a-ro-u-ra,"Duhoux 2011: 'ploughland' cf. ἄρουρα  corn-lands cf. ἅρουραι πυρόφοροι (Iliad XIV 122+) Iliad III.246: καρπὸν ἀρούρης """"the fruit of the earth"""" Iliad VI.142: οἵ ἀρούρης καρπὸν """"the fruit of the field"""" Iliad VI.195: καλὸν φυταλιῆς καὶ ἀρούρης """"a fair tract of orchard and of plough land"""" Iliad VII.421 X.8: ἀρούρας """"the fields"""" Iliad XI.68: ἄρουραν πυρῶν ἥ κριθῶν """"field of wheat or barley"""" Iliad XI.558: ὄνος παρ᾽ ἄρουραν """"ass that passes by a cornfield"""" Iliad XII.314: καλὸν φυταλιῆς καὶ ἀρούρης πυροφόροιο """"a fair tract of orchard and of wheat-bearing plough-land"""" Iliad XII.422: ἀρούρῃ """"field"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II “Interpreting the Linear B Records: Some Guidelines” Homer 2003 Iliad (trans. A.T. Murray ed. William F. Wyatt)"
𐀀𐀫𐀄𐀨,a-ro-u-ra,plow lister
𐀀𐀫𐀈𐀫𐀃,a-ro-do-ro-o,probably theonym or shrine KN Fs: HORD NI FAR VIN Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀊,a-ro-ja,anthroponym? dative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀋𐀄,a-ro-je-u,anthroponym cf. Ἀλωεύς Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀏,a-ro-ka,toponym or anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀗,a-ro-mo,"(as a-ro-(mo)[)  """"reading uncertain"""" maybe ἀρώματα? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀫𐀞,a-ro-pa,unguent cf. ἀλοιφή (Odyssey VI 220+) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀡,a-ro-po,'anointers painters'? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀲,a-ro-ta,"'unsewn' description of textiles cf. ἄλωστοι  """"meaning obscure"""" cf. a-ro-ta Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀫𐀸,a-ro-we,meaning obscure KN K: me-wo-ni-jo *47-ti-joanthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀺,a-ro-wo,meaning obscure building material? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀺𐀲,a-ro-wo-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀼,a-ro-za,neut. plural adjective describing a tunic  nominative singular masculine of a-ro-za Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀫𐀿,a-ro-zo,"""""adjective describing a tunic""""  neuter plural of a-ro-zo Appears as """"a-ro-zo 'ki-to'"""" on KN Lc 536+. TELA: KN Lc Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀭𐀔𐀃,a-sa-ma-o,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀭𐀔𐀵,a-sa-ma-to,anthroponym genitive Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀭𐀖𐀵,a-sa-mi-to,bath
𐀀𐀭𐀖𐀵,a-sa-mi-to,cf. ἀσάμινθος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀭𐀠,a-sa-pi,toponym locative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀭𐀫,a-sa-ro,anthroponym cf. Ἀσσάρακος da-*22-to: KN As Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀮𐀁,a-se-e,toponym locative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀮𐀰𐀯,a-se-so-si,to be masculine
𐀀𐀯𐀊𐀴𐀊,a-si-ja-ti-ja,"toponym of the Further Province  """"probably variant spelling of a-si-ja-ti-ja"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀯𐀊𐀴𐀊,a-si-ja-ti-ja,toponym one of Seven Towns of the Further Province  probably variant spelling of a-si-ja-ti-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀯𐀵𐀡𐀦,a-si-to-po-qo,"occupational term """"probably a confusion of a-to-po-qo (q.v.) and si-to-po-qo: sītopoquos 'cook'"""""
𐀀𐀯𐀹𐀊,a-si-wi-ja,asian
𐀀𐀯𐀹𐀊,a-si-wi-ja,epithet of po-ti-ni-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀯𐀹𐀍,a-si-wi-jo,anthroponym cf. Ἄσιος see also a-*64-jo GRA: PY Eq? OVIS: KN Df PY Cn VIR: MY Au ro-u-so: PY Cn? ru-ki-to: KN Df Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀰𐀙,a-so-na,toponym or occupational term? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀰𐀥𐀍,a-so-qi-jo,anthroponym cf. Ἀσωπός Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲,a-ta,anthroponym a-ta + connective enclitic -qe Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀃,a-ta-o,anthroponym cf. Ἀνταιος  genitive of a-ta-o Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀔𐀚𐀄,a-ta-ma-ne-u,anthroponym cf. Ἀθαμᾶνες  dative of a-ta-ma-ne-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀔𐀜𐀸,a-ta-ma-no-we,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀔𐀲,a-ta-ma-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀙,a-ta-na,goddess athena
𐀀𐀲𐀙𐀡𐀴𐀛𐀊,a-ta-na-po-ti-ni-ja,"Duhoux 2008: 1. toponym? cf. several towns called Ἀθῆναι outside Attica or 2. theonym? 'to Mistress Athana'? cf. πότνι᾽ Ἀθηναίη (Iliad VI.305) van Leuven 1979: epithet of Athena  'for the Mistress Athena' cf. πότνι᾽ Ἀθηναίη (Iliad VI.305) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I """"Mycenaean Anthology"""" van Leuven Jon C. 1979 Kadmos Band 18 Heft 2 “Mycenaean Goddesses Called Potnia”"
𐀀𐀲𐀜,a-ta-no,anthroponym cf. Ἀντήνωρ  dative of a-ta-no  genitive of a-ta-no Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀨,a-ta-ra,a kind of vessel cf. ἅντλος 'ship's hold' (Odyssey XII 411+) ἀντλίον 'bucket' (Aristophanes) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀨𐀯𐀃,a-ta-ra-si-o,with no weigh of cooper
𐀀𐀲𐀨𐀯𐀍,a-ta-ra-si-jo,"of bronzesmiths """"without a ta-ra-si-ja"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀲𐀫,a-ta-ro,anthroponym cf. a3-ta-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀫𐀸,a-ta-ro-we,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀴𐀝,a-ta-ti-nu,anthroponym KN F: a-e-da-do-roanthroponym a-me-jaanthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀶𐀫,a-ta-tu-ro,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀲𐀺,a-ta-wo,"anthroponym  dative of a-ta-wo  meaning obscure """"perhaps derivative of [a-ta-wo-ne[]"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀲𐀽𐀄,a-ta-ze-u,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀂𐀊𐀲,a-te-i-ja-ta,anthroponym KN Dd KN Dk: ku-ta-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀄𐀐,a-te-u-ke,'unequipped'? cf. ἀτευχής Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀍,a-te-jo,"""""possibly [anthroponym] a 'collector' of sheep or an epithet of the sheep themselves"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek kar WNXVII.96 do-ti-ja"
𐀀𐀳𐀍,a-te-jo,"""""possibly [anthroponym] a 'collector' of sheep or an epithet of the sheep themselves"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek kar WNXVII.96 do-ti-ja"
𐀀𐀳𐀖𐀵,a-te-mi-to,theonym cf. Ἀρτεμίσιος 'Artemis' in genitive  dative of variant spelling of a-te-mi-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀗,a-te-mo,anthroponym cf. Ἀνθεμίων KN As 1520: a-ta-no da-ko-so di-zo ke-sa-do-ro ki-ma-ta ri-zo [[so-za]] OVIS: KN Dc KN De e-ra: KN Dc ku-ta-to: KN De Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀨𐀺,a-te-ra-wo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀩𐀁𐀳𐀍,a-te-re-e-te-jo,adjective describing [[*246|BATH]] Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀩𐀳𐀀,a-te-re-te-a,adjective describing WHEELS? cf. a-te-re-e-te-jo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀩𐀹𐀊,a-te-re-wi-ja,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀳𐀸,a-te-we,"""""name of a kind of ewer or jug"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀳𐀺𐀍,a-te-wo-jo,anthroponym genitive Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀴𐀊,a-ti-ja,"""""constructional members of a chimney structure: perhaps antia. [ἀντίον as part of a loom ἀντίος.] MY context obscure."""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀴𐀊,a-ti-ja,slanting beam
𐀀𐀴𐀊𐀺,a-ti-ja-wo,anthroponym PY Jn: ku-ke-re-u ma-ta-ko na-pu-ti-jo [[po-so-ro]] qe-re-me-ne-u [[wa-ra-ko-no]] VIR: PY An? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀴𐀍,a-ti-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀴𐀏,a-ti-ka,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀴𐀐𐀚𐀊,a-ti-ke-ne-ja,"Davies 1999: feminine personal name in -εια Davies Anna Morpurgo 1999 Floreant Studia Mycenaea Proceedings of the Tenth Mycenaean Colloquium """"The Morphology of Personal Names in Mycenaean and Greek: Some Observations"""""
𐀀𐀴𐀖𐀳,a-ti-mi-te,artemis
𐀀𐀴𐀞𐀗,a-ti-pa-mo,"anthroponym cf. Ἀντίφημος Appears as """"](o)-pi  no-nu-we  'a-ti-pa-mo' pe-re"""" on KN Od 562. AES: PY Jn LANA: KN Od Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀴𐀪𐀊,a-ti-ri-ja,toponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀴𐀫,a-ti-ro,anthroponym e-ko-so: KN Dv Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀵,a-to,bread
𐀀𐀵,a-to,anthroponym cf. Ἄνθος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀵𐀕𐀊,a-to-me-ja,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀵𐀗,a-to-mo,band of workers
𐀀𐀵𐀗,a-to-mo,"""""apparently a guild of craftsmen"""" cf. ἄρθμιος (Odyssey XVI 427) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀵𐀗𐀙,a-to-mo-na,"anthroponym dative Appears as """"o-pi a-to-mo-na"""" on KN Od 690. Appears as """"a-to-mo-na  / su-mo-no-qe"""" on KN Od 563. LANA: KN Od Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀵𐀡𐀦,a-to-po-qo,occupational term 'bakers' cf. ἀρτοκόπος  dative plural of a-to-po-qo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀵𐀫𐀦,a-to-ro-qo,"'with a human being' cf. ἄνθρωπος """"of obscure origin"""" dative (instrumental) singular Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀵𐀫𐀦,a-to-ro-qo,human
𐀀𐀶𐀒,a-tu-ko,"anthroponym a-tu-ko is """"e-te-do-mo wa-na-ka-te-ro"""" in the PY En series. a-tu-ko is e-te-do-mo “pa-ro wa-na-ta-jo” and wa-na-ta-jo is te-re-ta “pa-ro a-ma-ru-ta” in the PY Eo series. a-tu-ko is e-te-do-mo """"pa-ro da-mo"""" in the PY Ep series. AES: PY Jn? GRA: PY En PY Eo OVIS: KN Dg pa-ki-ja-ne: PY En? su-ri-mo: KN Dg Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀶𐀦𐀲,a-tu-qo-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀶𐀦𐀳𐀨𐀵,a-tu-qo-te-ra-to,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀷𐀚𐀄,a-wa-ne-u,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀷𐀨𐀏𐀙,a-wa-ra-ka-na,"""""name of an artifact"""" 'furrow' meaning perhaps 'ploughshare'? cf. αὖλαξ  genitive of a-wa-ra-ka-na Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀷𐀯𐀊,a-wa-si-ja,toponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀷𐀰,a-wa-so,anthroponym OVIS: KN Db CAP: KN Mc *150: KN Mc qa-mo: KN Db tu-ni-ja: KN Db Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀷𐀲,a-wa-ta,anthroponym cf. ἀήτης Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀷𐀴𐀏𐀨,a-wa-ti-ka-ra,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀸𐀄𐀠,a-we-u-pi,toponym locative or ablative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀸𐀐𐀮𐀄,a-we-ke-se-u,anthroponym cf. ἀεξω (Szemerényi 1957)  dative of a-we-ke-se-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Szemerényi 1957 TBD
𐀀𐀸𐀩𐀁,a-we-re-e,exaggerate
𐀀𐀹𐀋𐀗,a-wi-je-mo,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀹𐀵𐀈𐀵,a-wi-to-do-to,anthroponym cf. ἄϊστος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀺𐀂𐀍,a-wo-i-jo,anthroponym cf. Ἠῶος CAP: PY Cn OVIS: KN Dv a2-pa-tu-wo-te: PY Cn ri-jo-no: KN Dv Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀺𐀫,a-wo-ro,anthroponym cf. a3-wo-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀺𐀴𐀍,a-wo-ti-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀺𐀴𐀍,a-wo-ti-jo,anthroponym KN Dd: po-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀽𐀃,a-ze-o,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀽𐀲,a-ze-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀽𐀴𐀪𐀊,a-ze-ti-ri-ja,"""""description of women; probably variant spelling of a-ke-ti-ra2"""" nominative plural feminine Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀽𐀵,a-ze-to,adjective describing zo-wa? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁃𐀁,a-dwe-e,
𐀀𐁆𐀊,a-pu2-ja,toponym cf. a-pu2-we Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁆𐀏,a-pu2-ka,"""""ethnic name in -ān; apparently not from *a-pu2 which is a u-stem and would not explain k""""  nominative plural in -ānes of a-pu2-ka Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐁆𐀸,a-pu2-we,toponym of the Hither Province locative  allative of a-pu2-we cf. ti-mi-ti-ja te-mi-ti-ja of ti-mi-to a-ke-e  toponym alternative form of a-pu2-we PY Vna-pu2-de: a-ke-re-wa-deallative me-ta-pa-deallative pi-*82-deallative etc. AES: PY Jn AUR: PY Joa-pu2-ja SUS+SI: PY Cn VIR: PY An *189: PY Qa da-ko-ro: PY An ka-ke-we: PY Jn ko-re-te: PY Joa-pu2-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁊𐀀,a-ro2-a,applied to textiles and wheels 'of better quality' cf. ἄριστος  nominative dual or plural feminine of a-ro2-a  genitive singular or nominative dual of a-ro2-a or possibly an error ROTA: KN So TELA: KN L TELA+PU: KN L ZE: KN So *158: KN Ld *161: KN L Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁊𐀀,a-ro2-a,'of better quality' cf. ἄριστος  nominative dual or plural feminine of a-ro2-a  apparently genitive singular or nominative dual possibly an error? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁖𐀅𐀫,a-*56-da-ro,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁖𐀜,a-*56-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁘𐀊,a-*64-ja,1. (PY Aa PY Ab) ethnic adjective 'women of Asia (=Lydia)' cf. a-si-wi-ja 2. (PY Vn) anthroponym singular of a-*64-ja1  genitive of a-*64-ja1 Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁘𐀍,a-*64-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐁙,a-*79,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀁𐀫𐀞𐀍𐀤𐀫𐀭,e-e-ro-pa-jo-qe-ro-sa,"""""Reading and word-division uncertain"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀁𐀁𐀯,e-e-si,'they are' cf. e-ne-e-si a-pe-e-si Att. εἰσί  'being' nominative singular masculine participle  nominative plural masculine Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀁𐀵,e-e-to,meaning obscure probably verbal form from εἰμί or ἵημι? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀃𐀳𐀄,e-o-te-u,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄,e-u-,
𐀁𐀄𐀅𐀂𐀲,e-u-da-i-ta,anthroponym KN Dl: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀅𐀗,e-u-da-mo,anthroponym with Greek Εὐ- 'good' prefix cf. Εὔδαμος Εὐδαίμων Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀆𐀸𐀫,e-u-de-we-ro,"Ramón 2011: descriptive toponym cf. Homeric Εὐδείελος 'having nice afternoons (δειελός)' Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Onomastics"""""
𐀁𐀄𐀐𐀵,e-u-ke-to,wishes declares
𐀁𐀄𐀒𐀫,e-u-ko-ro,anthroponym cf. Εὔκολος Εὔχορος Εὔκλος KN Da: do-ti-ja KN Db: ti-ri-to KN Dd: da-*22-to KN Da KN Db KN Dd: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀕𐀆,e-u-me-de,anthroponym cf. Εὐμήδης Chadwick & Ventris: dative of e-u-me-de Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀕𐀲,e-u-me-ta,anthroponym cf. Εὐμήτης Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀗,e-u-mo,anthroponym KN Da: ra-to KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀙𐀺,e-u-na-wo,anthroponym cf. Εὔνηος (Iliad VII 468) CROC: KN Np OVIS: KN Dv VIR: KN B ri-jo-no: KN Dv Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀡𐀫𐀺,e-u-po-ro-wo,good sailing
𐀁𐀄𐀬𐀦𐀲,e-u-ru-qo-ta,anthroponym KN V 147: da-te-wa na-e-si-jo te-ra-pe-te we-we-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀁𐀄𐀬𐀺𐀲,e-u-ru-wo-ta,wide-eared
